year,region_id,Region_name,ons_code,total_link_length_km,total_link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles
1993,1,South West,E12000009,48751.549,30292.81,227953599.4,289923696.4,19674314927,245021265.3,2351709378,1295590243,23856559510
1993,2,East Midlands,E12000004,30681.75,19064.76,199707628.2,172835852.9,16200184526,190072049.4,2082219306,1647137726,20292449459
1993,3,Scotland,S92000003,58532.648,36370.5,147292602.9,126436441.6,17677604851,334261634.1,2231034215,1339927724,21709264865
1993,4,Wales,W92000004,32543.502,20221.59,81718233.69,104647515.9,11278779581,156286426.2,1452740937,735193009.6,13727647470
1993,5,North West,E12000002,35952.604,22339.91,251357502.3,199240745.9,23729995788,339800155.6,2801814065,1834379537,28905230291
1993,6,London,E12000007,14350.446,8916.95,272098090.7,358169320,15882514166,273427487.5,1928558767,640880245.8,19083549986
1993,7,East of England,E12000006,38708.425,24052.3,365567983.3,270054627.8,22996110321,254817682,2976386705,1741075572,28238444908
1993,8,Yorkshire and the Humber,E12000003,31096.599,19322.53,231383668.8,171229053.9,16875996187,235884501,2204274510,1624323716,21111707967
1993,9,South East,E12000008,46587.542,28948.16,431671917.4,415233710.8,36748251227,368664895.7,4267146720,2035308064,43834604617
1993,10,West Midlands,E12000005,31813.532,19768.01,195701287.2,177430690.2,20484233186,298629740.6,2528716360,1703291393,25192301370
1993,11,North East,E12000001,15820.273,9830.26,85531009.28,55059277.26,8536913668,174103090.9,1021850284,474329085.2,10262255405
1994,1,South West,E12000009,48837.258,30346.07,227259506.7,293213664.7,20182081957,244157916.8,2458476408,1325573944,24503503890
1994,2,East Midlands,E12000004,30736.201,19098.59,199505034.3,172950134.3,16544612668,189747541.4,2164981411,1694319116,20766610870
1994,3,Scotland,S92000003,58626.157,36428.61,146073647.5,126752221.9,18070657926,332457670,2327617038,1365801792,22223286648
1994,4,Wales,W92000004,32594.439,20253.25,81221952.87,104953492.8,11529084199,155327528.3,1517663372,747370772.2,14054399365
1994,5,North West,E12000002,36032.33,22389.45,251507955.5,195823779.4,24124407632,340643201.4,2908002089,1868716513,29437593215
1994,6,London,E12000007,14384.456,8938.09,278441721.3,369382328.5,16062810857,281778335.3,2010906197,623654797.9,19348532516
1994,7,East of England,E12000006,38777.587,24095.28,366149134.5,268677005.4,23537303947,254374952,3109362060,1790333429,28960051393
1994,8,Yorkshire and the Humber,E12000003,31159.422,19361.57,231625036.5,169914490.1,17218393518,235814637.9,2294337836,1657803578,21576264059
1994,9,South East,E12000008,46682.721,29007.3,432101408.8,414024288.7,37566599379,369827327.3,4446049562,2088461474,44884962031
1994,10,West Midlands,E12000005,31875.055,19806.24,195896795.2,175481775.3,20876841452,299296257.8,2627757739,1749969325,25729346550
1994,11,North East,E12000001,15851.442,9849.63,85912006.85,54679078.84,8675832265,173003861.1,1062241397,482428330.4,10448184933
1995,1,South West,E12000009,48937.867,30408.58,233852221.3,294135878.9,20585302680,257910518.3,2532676259,1360446753,25030472090
1995,2,East Midlands,E12000004,30801.36,19139.08,205898117.5,171981527.3,16857405408,200809871.4,2217851241,1750899142,21198947190
1995,3,Scotland,S92000003,58753.68,36507.84,149239846.1,126342862.4,18421094779,350926323.3,2380908132,1398080159,22677352255
1995,4,Wales,W92000004,32659.169,20293.47,83140338.49,104687798.2,11739450501,164294073.1,1556256124,763937579.5,14328626077
1995,5,North West,E12000002,36119.162,22443.41,260586411.6,195848096.5,24607345776,358113031.2,2988563182,1916706599,30066576685
1995,6,London,E12000007,14417.874,8958.85,283280561.7,359949803.2,16003118930,303703868.8,2086967051,608719496.9,19362459150
1995,7,East of England,E12000006,38856.836,24144.52,378671802.6,267491659.4,23980919433,268484611.5,3196253102,1847877328,29561026135
1995,8,Yorkshire and the Humber,E12000003,31231.194,19406.16,239478040.1,170862342.4,17548329759,249417595.7,2356723507,1716171388,22041504592
1995,9,South East,E12000008,46791.874,29075.12,447436170,409413210.4,38347677530,388598362.9,4562071953,2152454022,45860215078
1995,10,West Midlands,E12000005,31945.372,19849.93,202399087,174692239.2,21274265927,317822682.9,2697952312,1800290674,26265023835
